发货时间,订单号,物流公司,运单号,包裹状态
2025-02-10 17:01:51,250210-067140380993832,中通快递,78481562476747	,转运中
2025-02-10 17:01:13,250210-417930944111091,中通快递,78481562373166	,已派件
2025-02-10 17:01:13,250210-195391721833800,中通快递,78481562372236	,转运中
2025-02-10 17:01:13,250210-139880076872548,中通快递,78481562476882	,转运中
2025-02-10 17:01:13,250210-092421496353047,中通快递,78481562369548	,转运中
2025-02-10 17:00:36,250210-563064400221800,中通快递,78481562650330	,转运中
2025-02-10 17:00:34,250210-346533414402446,中通快递,78481562633925	,转运中
2025-02-10 17:00:34,250210-149159995690754,中通快递,78481562620608	,转运中
2025-02-10 17:00:34,250210-079282880911351,中通快递,78481562633981	,转运中
2025-02-10 17:00:33,250210-656303736400716,中通快递,78481562620557	,转运中
2025-02-10 17:00:33,250210-584444875041710,中通快递,78481562649139	,转运中
2025-02-10 17:00:33,250210-580355397150781,中通快递,78481562651668	,转运中
2025-02-10 17:00:33,250210-517157701163237,中通快递,78481562649019	,转运中
2025-02-10 17:00:33,250210-326925085002220,中通快递,78481562634059	,转运中
2025-02-10 17:00:33,250210-233308167730434,中通快递,78481562649050	,转运中
2025-02-10 17:00:33,250210-015456048722673,中通快递,78481562649106	,转运中
2025-02-10 17:00:32,250210-506137219361413,中通快递,78481562649141	,转运中
2025-02-10 17:00:32,250210-485113250172051,中通快递,78481562634074	,转运中
2025-02-10 17:00:32,250210-350696281713188,中通快递,78481562649062	,转运中
2025-02-10 17:00:32,250210-340514619770348,中通快递,78481562634801	,转运中
2025-02-10 17:00:32,250210-268561365321398,中通快递,78481562634026	,转运中
2025-02-10 17:00:32,250210-117797045860249,中通快递,78481562621339	,已揽件
2025-02-10 17:00:32,250210-024704500151793,中通快递,78481562650355	,转运中
2025-02-10 17:00:31,250210-631200816643552,中通快递,78481562634258	,转运中
2025-02-10 17:00:31,250210-594228078920262,中通快递,78481562634046	,转运中
2025-02-10 17:00:31,250210-580281976371194,中通快递,78481562650256	,转运中
2025-02-10 17:00:31,250210-545825800570853,中通快递,78481562648970	,转运中
2025-02-10 17:00:31,250210-538947100272244,中通快递,78481562634763	,转运中
2025-02-10 17:00:31,250210-493449418350247,中通快递,78481562634018	,转运中
2025-02-10 17:00:31,250210-390552645202208,中通快递,78481562634061	,转运中
2025-02-10 17:00:31,250210-152777561753948,中通快递,78481562633946	,转运中
2025-02-10 17:00:30,250210-649299258923829,中通快递,78481562622003	,转运中
2025-02-10 17:00:30,250210-619299531050127,中通快递,78481562649034	,转运中
2025-02-10 17:00:30,250210-604965497192402,中通快递,78481562634090	,转运中
2025-02-10 17:00:30,250210-555430756731917,中通快递,78481562634756	,转运中
2025-02-10 17:00:30,250210-482638621072481,中通快递,78481562620572	,转运中
2025-02-10 17:00:30,250210-370650724643709,中通快递,78481562634378	,转运中
2025-02-10 17:00:30,250210-222927275531672,中通快递,78481562634299	,转运中
2025-02-10 17:00:30,250210-220662361700508,中通快递,78481562634636	,转运中
2025-02-10 17:00:30,250210-069227025983526,中通快递,78481562621980	,转运中
